id,name,username,location,description,followers_count,friends_count,listed_count,date_joined,favourites_count,time_zone,verified,statuses_count,language,current_following,follow_request_sent
1332174589724479488,apple_1,apple_89776,United States,,257,573,0,Fri Nov 27 04:09:21 +0000 2020,11758,,False,23538,,False,False
1157313117283594245,Hon. Afo,OlaAfo32,,A lover of God | Football | graphics designer | crypto guy | $DRIP💧| CITY OF ATLANTUS🌊🔱 | 🦅FC,441,1481,4,Fri Aug 02 15:32:03 +0000 2019,68984,,False,8204,,False,False
1421145732325720064,MaryArchuleta,MaryArc93873972,SF,Debby:I am tired of riding there. We should take on some new challenges.,38,387,0,Fri Jul 30 16:28:41 +0000 2021,452,,False,924,,False,False
1498873918123556869,🍒Al_azis Bigwin🌟 🦄,Amila_Julianda3,"Bogor, Jawa Barat","Bismillahirrahmanirrahim,,,,alhamdulillah selalu bersyukur semoga bulan maret sebelum🌟 Ramadhan 🌟penuh berkah ini dapat rezeki bigwin  ya allah🤲🤲",92,1914,4,Wed Mar 02 04:12:58 +0000 2022,3372,,False,12467,,False,False
1496461952763133955,Awbrightea 🍀Free tag🍀,Tinabigwin_08,,"Welcome  👋
🚀🚀🕊️
wish me luck ✨",64,1571,0,Wed Feb 23 12:28:44 +0000 2022,1775,,False,5526,,False,False
1503975039749992449,Jenith,jenithwin,,my main account @crypto_teriya got suspend plz donot reroll me,16,216,0,Wed Mar 16 06:03:49 +0000 2022,16,,False,144,,False,False
1490225686912856065,fih🐝,HafizahBigwinnn,"Riau, Indonesia","one day, bigwin come to me🍀 #BTC #ETH #BNB my backup acc🌺 @zajaemcityx @zahnewx",186,1269,4,Sun Feb 06 07:28:23 +0000 2022,779,,False,5309,,False,False
1498187627400679424,Horace Marcellus,TinaCineas,Salina,Crypto investment and only #HODL #crypto #NFT #investment Discord,11,45,0,Mon Feb 28 06:46:01 +0000 2022,19,,False,15,,False,False
1451028978655920135,berliana_bigwin,berliana_bigwin,,Bismillahirrahmanirrahim ❤ #SHIB #LEASH #BONE ❤❤❤❤❤❤❤❤❤❤❤❤,405,2856,8,Thu Oct 21 03:34:16 +0000 2021,18124,,False,18403,,False,False
1499914585792397312,Rain is always suspended,rainwinzx,,Don't reroll me |sus. acc @Exosrain @rainwinsx | #gemeut #gemhostfamily | #Rabbitch | #Deukiess | #ayuminati | #6️⃣5️⃣🎹,60,954,6,Sat Mar 05 01:08:11 +0000 2022,2213,,False,4559,,False,False
1498308658995732482,CRYPTO JOSEPH,CRYPTOJOSEPH6,,TURN 🔔 ON! #GIVEAWAYS EVERYDAY! #NFT Influencer 🏆| 💵From me ♥️From you 🤝🚀 I’m a #CRYPTO GANG owner 😎🧨 #ETH #BTC #SOl #BNB,5,15,0,Mon Feb 28 14:46:52 +0000 2022,573,,False,959,,False,False
1479439124595560449,Toy,NftToy_,"Mumbai, India","☘️🌴 I am an accountant and love, enthusiastic  about #Crypto and #NFTs 
#BigWin☘️🍀🍀",88,1668,6,Fri Jan 07 13:06:05 +0000 2022,3053,,False,6258,,False,False
1271006579526004736,バチュルー,KwcQ2,東京,特になしです,9,95,1,Thu Jun 11 09:09:45 +0000 2020,97,,False,165,,False,False
1360008379079475201,Artemis_Loukashevich,Artemislksv,,,11,45,3,Thu Feb 11 23:31:02 +0000 2021,49,,False,91,,False,False
1499914127812481025,cath | limit T^T | moneyfestinggg,sunnieeluvs,@tinkerrhan @tinkerrrhan || 📌,she/her | #TenksJo #noizzy #LizFam #kieloves #Hatdogs🌭 #azians #Vivid #tipofthesea #YelshBears #yumibears #Rabbitch #reveries #jrkookies,50,1117,4,Sat Mar 05 01:06:20 +0000 2022,5220,,False,8041,,False,False
1472817372037791748,zarei,zarei71415922,,,18,573,8,Mon Dec 20 06:34:03 +0000 2021,709,,False,1083,,False,False
1418270553316593664,🍀 cia bigwin `free tag 🍀,xuxiore,,pick me pick me 😍,188,4962,3,Thu Jul 22 18:03:56 +0000 2021,14848,,False,47134,,False,False
1429683050787446788,whitefish,O2192001,Sea,"A Curious, Conversing with Creatives...|",117,314,6,Mon Aug 23 05:53:23 +0000 2021,6204,,False,845,,False,False
1465619347347546113,Felory Dias,FeloryD,,"ૐPsyHavocૐ. ♊ 🕉 🎶 🔊 👿ॐ
ɛҳ℘ɛཞıɛŋƈɛ ɬɧɛ Ɩıզųıɖ ཞɛąƖɱ 
~ყơųཞ ɱɛŋɬąƖıɬყ ƈཞɛąɬɛʂ ყơųཞ ཞɛąƖıɬყ
#psyhavoc",46,444,0,Tue Nov 30 09:51:07 +0000 2021,352,,False,741,,False,False
1495403805847932929,lathers thruway,Sp1derm4n231,,Okay lang naman,29,735,4,Sun Feb 20 14:24:06 +0000 2022,878,,False,1811,,False,False
1499587424774934533,Prabal Tomar,AkashayTomar1,,,50,836,0,Fri Mar 04 03:28:26 +0000 2022,1474,,False,2933,,False,False
1503927015392497664,Robil4,Robil41,,,4,0,0,Wed Mar 16 02:52:07 +0000 2022,0,,False,129,,False,False
1435705337500160001,lucky never wins,Ronjame13008310,,the unlucky player from fortnite 🥺🥺🥺 I never win 😭,79,1146,0,Wed Sep 08 20:43:33 +0000 2021,3108,,False,3381,,False,False
1504343988337270786,Salman Zulfiqar,SalmanZS223190,,,0,3,0,Thu Mar 17 06:29:56 +0000 2022,2,,False,16,,False,False
1439516374309556228,The mighty'boy🇺🇦,berlitros,"กรุงเทพมหานคร, ประเทศไทย","I am a creator from Thailand.❄️🍀❄️🍀❄️🍀❄️🍀❄️
https://t.co/dbWNSlhb07",481,374,2,Sun Sep 19 09:07:17 +0000 2021,3043,,False,2798,,False,False
